"first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","reference","tags","anonymous","reporter"
"2026-01-31 12:01:27","""1739352""","""51.48.3.26:1311""","""ip:port""","""botnet_cc""","""win.meterpreter""","""None""","""Meterpreter""","""""","""100""","""False""","""https://search.censys.io/hosts/51.48.3.26""","""AMAZON-02","AS16509"
"2026-01-31 12:00:55","""1739351""","""69.62.125.171:443""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""2026-02-01 03:47:47""","""100""","""False""","""https://search.censys.io/hosts/69.62.125.171""","""AS-HOSTINGER","AS47583"
"2026-01-31 12:00:48","""1739350""","""157.20.182.25:1339""","""ip:port""","""botnet_cc""","""win.asyncrat""","""None""","""AsyncRAT""","""2026-02-01 03:44:37""","""100""","""False""","""https://search.censys.io/hosts/157.20.182.25""","""AS152485","AsyncRAT"
"2026-01-31 12:00:45","""1739349""","""162.33.179.156:8808""","""ip:port""","""botnet_cc""","""win.asyncrat""","""None""","""AsyncRAT""","""2026-02-01 03:44:54""","""100""","""False""","""https://search.censys.io/hosts/162.33.179.156""","""AS399629","AsyncRAT"
"2026-01-31 12:00:43","""1739348""","""172.233.15.195:8888""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""2026-01-31 21:27:30""","""100""","""False""","""https://search.censys.io/hosts/172.233.15.195""","""AKAMAI-LINODE-AP","AS63949"
"2026-01-31 12:00:30","""1739347""","""130.12.181.170:2404""","""ip:port""","""botnet_cc""","""win.remcos""","""RemcosRAT","Remvio","Socmer""","""Remcos""","""2026-02-01 03:43:41""","""100""","""False""","""https://search.censys.io/hosts/130.12.181.170"""
"2026-01-31 11:01:05","""1739344""","""157.180.3.131:3333""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""""","""100""","""False""","""https://search.censys.io/hosts/157.180.3.131""","""AS24940","censys"
"2026-01-31 11:01:04","""1739343""","""43.142.135.16:9205""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""""","""100""","""False""","""https://search.censys.io/hosts/43.142.135.16""","""AS45090","censys"
"2026-01-31 11:01:03","""1739342""","""85.215.132.159:4545""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""""","""100""","""False""","""https://search.censys.io/hosts/85.215.132.159""","""AS8560","censys"
"2026-01-31 11:00:59","""1739341""","""54.197.120.61:443""","""ip:port""","""botnet_cc""","""unknown""","""None""","""Unknown malware""","""""","""100""","""False""","""https://search.censys.io/hosts/54.197.120.61""","""AS14618","censys"
